Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0hL9gOw6XBWsygEUcVjxEc,"HYAENA","UTOPIA","Travis Scott",2023-07-28,222085,70,9gawsqi088oaqvjoj72n0mhab,2023-09-30T23:54:21Z,"rap,slap house","Cactus Jack/Epic",0.608,0.754,8,-5.277,1,0.0719,0.0305,0,0.119,0.455,97.071,4
1PH2MDbcBAU094DlgTIND1,"THANK GOD","UTOPIA","Travis Scott",2023-07-28,184888,72,9gawsqi088oaqvjoj72n0mhab,2023-09-30T23:54:21Z,"rap,slap house","Cactus Jack/Epic",0.657,0.553,10,-7.08,0,0.0394,0.254,0,0.129,0.576,134.925,4
3KCNiDi9Pza6ZD8FggNoaw,"MODERN JAM (feat. Teezo Touchdown)","UTOPIA","Travis Scott,Teezo Touchdown",2023-07-28,255412,68,9gawsqi088oaqvjoj72n0mhab,2023-09-30T23:54:21Z,"rap,slap house","Cactus Jack/Epic",0.517,0.539,9,-6.474,0,0.038,0.000564,0.000014,0.537,0.531,108.984,4
4kjI1gwQZRKNDkw1nI475M,"MY EYES","UTOPIA","Travis Scott",2023-07-28,251249,82,9gawsqi088oaqvjoj72n0mhab,2023-09-30T23:54:21Z,"rap,slap house","Cactus Jack/Epic",0.455,0.621,0,-7.694,0,0.0517,0.651,0.00000259,0.123,0.28,119.043,4
04WxWo7XeVyx22xEsrWRUb,"GOD'S COUNTRY","UTOPIA","Travis Scott",2023-07-28,127991,66,9gawsqi088oaqvjoj72n0mhab,2023-09-30T23:54:21Z,"rap,slap house","Cactus Jack/Epic",0.624,0.65,2,-5.819,1,0.0358,0.0229,0.0000121,0.145,0.138,150.048,4
7LSpFCvRZZot2AlmkUzy9k,"SIRENS","UTOPIA","Travis Scott",2023-07-28,204447,68,9gawsqi088oaqvjoj72n0mhab,2023-09-30T23:54:21Z,"rap,slap house","Cactus Jack/Epic",0.588,0.88,9,-6.117,0,0.0747,0.0976,0.000167,0.767,0.242,96.003,3
67nepsnrcZkowTxMWigSbb,"MELTDOWN (feat. Drake)","UTOPIA","Travis Scott,Drake",2023-07-28,246133,74,9gawsqi088oaqvjoj72n0mhab,2023-09-30T23:54:21Z,"rap,slap house,canadian hip hop,canadian pop,hip hop,pop rap","Cactus Jack/Epic",0.557,0.774,7,-5.275,0,0.351,0.012,0,0.396,0.397,111.975,4
42VsgItocQwOQC3XWZ8JNA,"FE!N (feat. Playboi Carti)","UTOPIA","Travis Scott,Playboi Carti",2023-07-28,191700,88,9gawsqi088oaqvjoj72n0mhab,2023-09-30T23:54:21Z,"rap,slap house,atl hip hop,plugg,pluggnb,rage rap","Cactus Jack/Epic",0.569,0.882,3,-2.777,0,0.06,0.0316,0,0.142,0.201,148.038,4
0OEe83mMZ5kaNw5uZQ7ilG,"DELRESTO (ECHOES) (feat. Beyoncé)","UTOPIA","Travis Scott,Beyoncé",2023-07-28,274137,62,9gawsqi088oaqvjoj72n0mhab,2023-09-30T23:54:21Z,"rap,slap house,pop,r&b","Cactus Jack/Epic",0.674,0.609,2,-6.306,0,0.045,0.461,0,0.328,0.509,116.066,4
6wsqVwoiVH2kde4k4KKAFU,"I KNOW ?","UTOPIA","Travis Scott",2023-07-28,211582,81,9gawsqi088oaqvjoj72n0mhab,2023-09-30T23:54:21Z,"rap,slap house","Cactus Jack/Epic",0.927,0.619,5,-4.441,0,0.0539,0.0186,0,0.104,0.817,117.995,4
0lodMO0qK83vfPiiD7FMEt,"TOPIA TWINS (feat. Rob49 & 21 Savage)","UTOPIA","Travis Scott,Rob49,21 Savage",2023-07-28,223173,76,9gawsqi088oaqvjoj72n0mhab,2023-09-30T23:54:21Z,"rap,slap house,new orleans rap,atl hip hop,hip hop","Cactus Jack/Epic",0.715,0.567,1,-4.481,0,0.0865,0.06,0,0.0655,0.332,160.098,4
4GL9GMX9t7Qkprvf1YighZ,"CIRCUS MAXIMUS (feat. The Weeknd & Swae Lee)","UTOPIA","Travis Scott,The Weeknd,Swae Lee",2023-07-28,258842,68,9gawsqi088oaqvjoj72n0mhab,2023-09-30T23:54:21Z,"rap,slap house,canadian contemporary r&b,canadian pop,pop,melodic rap,trap","Cactus Jack/Epic",0.682,0.764,1,-6.314,1,0.0327,0.000779,0.0089,0.373,0.248,125.018,4
2Q0aElTZQtEUsoiaQfizu6,"PARASAIL (feat. Yung Lean & Dave Chappelle)","UTOPIA","Travis Scott,Yung Lean,Dave Chappelle",2023-07-28,154964,60,9gawsqi088oaqvjoj72n0mhab,2023-09-30T23:54:21Z,"rap,slap house,cloud rap,psychedelic hip hop,underground hip hop,black comedy,comedy","Cactus Jack/Epic",0.361,0.395,5,-8.51,0,0.0429,0.858,0.00356,0.211,0.208,75.923,3
